px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
10.5953	-4.03257	-2.65132	-2.28435	0.25262	10.5531	-3.94939	10.55	-3.95	1.81903	1.81904	1.33372
10.683	-3.90303	-2.66391	-2.25873	0.263444	10.6424	-3.84126	10.65	-3.85	1.81902	1.81903	0.306474
10.7692	-3.78181	-2.66697	-2.2393	0.266927	10.6157	-3.63689	10.75	-3.7	1.81931	2.72896	0.502621
10.8603	-3.63559	-2.70067	-2.21067	0.279592	10.8572	-3.53957	10.85	-3.55	1.81931	2.72896	0.540825
10.9077	-3.50036	-2.68621	-2.14899	0.350484	10.8149	-3.35552	10.9	-3.4	0.999745	2.99928	2.75816
10.9746	-3.35493	-2.7173	-2.11475	0.365567	10.9372	-3.24816	10.95	-3.25	0.999754	2.99928	0.731568
11.0827	-3.24553	-2.73629	-2.14908	0.276478	10.9078	-3.10703	11.05	-3.15	1.81764	1.81765	5.2422
11.1597	-3.10456	-2.74941	-2.12604	0.283517	11.135	-3.05697	11.15	-3.05	1.81763	1.81764	0.162731
11.2067	-2.95654	-2.73462	-2.06716	0.349384	11.1507	-2.87978	11.2	-2.9	0.909657	2.72896	2.31476
11.2741	-2.80482	-2.75515	-2.03924	0.357177	11.2571	-2.74346	11.25	-2.75	0.909648	2.72893	0.23413
11.2152	-2.61536	-2.71027	-1.84882	0.628247	11.2614	-2.58697	11.2	-2.6	-0.998725	2.99617	39.6939
11.2327	-2.47777	-2.70643	-1.8067	0.638075	11.1393	-2.45312	11.15	-2.45	-0.998725	2.99616	0.494686
11.2878	-2.34701	-2.6991	-1.80843	0.578952	11.2346	-2.28949	11.2	-2.3	0.908813	2.72643	1.96201
11.3074	-2.19419	-2.70187	-1.76753	0.587156	11.239	-2.16508	11.25	-2.15	0.908805	2.7264	0.295414
11.3536	-2.05801	-2.69658	-1.76975	0.52929	11.1623	-1.9797	11.3	-2	0.909855	2.72956	2.50359
11.3747	-1.89877	-2.71199	-1.73408	0.534729	11.3424	-1.85113	11.35	-1.85	0.909847	2.72953	0.18493
