0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.54466	-0.137188	2.95785	-0.2627	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.57007	0.0234311	2.43135	0.0959506	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.89201	-0.131661	2.21402	-0.405374	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
3.97708	0.0725697	2.3934	-0.0109567	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.8587	0.41335	3.3613	0.686171	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
6.63614	0.428787	2.76799	0.429861	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
9.08053	0.59581	2.12622	-0.0912002	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
9.13133	0.670375	2.32254	-0.101496	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.5744	1.65628	2.5622	2.0403	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
11.5036	1.61139	2.38487	1.82748	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.595	2.32285	1.80013	-0.373354	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
13.7532	2.31085	2.31622	-0.764815	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
16.6399	2.88994	3.45139	1.87412	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.4181	2.84988	2.92365	1.38777	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
19.0138	3.71072	2.27226	0.348123	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
19.096	3.73258	2.45006	0.367623	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.3333	4.72596	2.03051	1.59697	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.4516	4.75051	2.29685	1.81995	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.0755	5.57931	2.94049	-0.125525	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
24.1851	5.61355	3.16534	-0.0680845	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
26.6125	6.94737	1.70789	2.68519	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
26.714	6.97598	1.96043	3.06058	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
29.5776	8.10662	3.7389	-0.724485	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
29.4955	8.08924	3.46725	-0.620477	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
31.9515	9.85694	1.47388	4.06761	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
31.9526	9.85268	1.49351	4.18818	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
34.6044	10.731	3.76661	-2.30869	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
34.6788	10.7571	3.87737	-2.21602	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
37.1541	12.0542	1.11623	4.67892	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
37.2908	12.1036	1.4104	4.92473	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
40.3128	13.5009	4.57822	-1.99498	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
